[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_sapling.hit
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_sapling.place
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood.break
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood.fall
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood.hit
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood.place
[04авг.2026 13:26:43.151] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood.step
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_door.close
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_door.open
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.close
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.open
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_button.click_off
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_button.click_on
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_off
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_on
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.close
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.open
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.barrel.close
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.barrel.open
[04авг.2026 13:26:43.152] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.basalt.break
